organism,reviewed_count,unreviewed_count,pdb_structures_count,organism_id,lineage,type,type_merge_microbes,superdomain,domain,kingdom,reviewed_count_radius,unreviewed_count_radius,pdb_structures_count_radius
Oryza sativa subsp. japonica,4191,4191,103,39947,BOP clade; Embryophyta; Eukaryota; Liliopsida; Magnoliopsida; Oryza; Oryza sativa; Oryzeae; Oryzinae; Oryzoideae; Poaceae; Poales; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae,Plant,Plant,Cellular Life,Eukaryota,Plant,36.52446759360452,36.52446759360452,5.725898905580716
Dictyostelium discoideum,4160,4160,51,44689,Amoebozoa; Dictyostelia; Dictyosteliaceae; Dictyosteliales; Dictyostelium; Eukaryota; Eumycetozoa; Evosea,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,36.38913473173784,36.38913473173784,4.029119531035698
Drosophila melanogaster,3816,3816,455,7227,Arthropoda; Brachycera; Diptera; Drosophila; Drosophilidae; Ecdysozoa; Endopterygota; Ephydroidea; Eukaryota; Hexapoda; Insecta; Metazoa; Muscomorpha; Neoptera; Pterygota; Sophophora,Animal,Animal,Cellular Life,Eukaryota,Animal,34.8521236896311,34.8521236896311,12.034575115625177
Xenopus laevis,3507,3507,117,8355,Amphibia; Anura; Batrachia; Chordata; Craniata; Eukaryota; Euteleostomi; Metazoa; Pipidae; Pipoidea; Vertebrata; Xenopodinae; Xenopus,Animal,Animal,Cellular Life,Eukaryota,Animal,33.41126712422853,33.41126712422853,6.102643417692329
Danio rerio,3351,3351,101,7955,Actinopterygii; Chordata; Craniata; Cypriniformes; Danio; Danionidae; Danioninae; Eukaryota; Euteleostomi; Metazoa; Neopterygii; Ostariophysi; Teleostei; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,32.659706499016224,32.659706499016224,5.670035141386943
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),2325,2325,742,83332,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Mycobacteriaceae; Mycobacteriales; Mycobacterium; Mycobacterium tuberculosis complex,Bacteria,Microbial,Cellular Life,Bacteria,Monera,27.204236533623092,27.204236533623092,15.368341990871127
Gallus gallus,2309,2309,196,9031,Archelosauria; Archosauria; Aves; Chordata; Coelurosauria; Craniata; Dinosauria; Eukaryota; Euteleostomi; Galliformes; Galloanserae; Gallus; Metazoa; Neognathae; Phasianidae; Phasianinae; Saurischia; Theropoda; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,27.110468959395977,27.110468959395977,7.898654169668588
Pongo abelii,2218,2218,2,9601,Catarrhini; Chordata; Craniata; Euarchontoglires; Eukaryota; Euteleostomi; Eutheria; Haplorrhini; Hominidae; Mammalia; Metazoa; Pongo; Primates; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,26.570873669408158,26.570873669408158,0.7978845608028654
Escherichia coli O157:H7,2046,2046,63,83334,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,25.519835954254013,25.519835954254013,4.478115991081385
Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),1899,1899,14,83331,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Mycobacteriaceae; Mycobacteriales; Mycobacterium; Mycobacterium tuberculosis complex,Bacteria,Microbial,Cellular Life,Bacteria,Monera,24.585981246698665,24.585981246698665,2.111004122822376
Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),1830,1830,268,99287,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Salmonella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,24.135183689301744,24.135183689301744,9.23618154310838
Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),1787,1787,224,243232,Archaea; Methanobacteriati; Methanobacteriota; Methanocaldococcaceae; Methanocaldococcus; Methanococcales; Methanococci; Methanomada group,Archaea,Microbial,Cellular Life,Archaea,Monera,23.84994269616667,23.84994269616667,8.444016491289505
Xenopus tropicalis,1711,1711,14,8364,Amphibia; Anura; Batrachia; Chordata; Craniata; Eukaryota; Euteleostomi; Metazoa; Pipidae; Pipoidea; Silurana; Vertebrata; Xenopodinae; Xenopus,Animal,Animal,Cellular Life,Eukaryota,Animal,23.337270947145164,23.337270947145164,2.111004122822376
Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),1704,1704,123,71421,Bacteria; Gammaproteobacteria; Haemophilus; Pasteurellaceae; Pasteurellales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,23.28948359361322,23.28948359361322,6.257165172872317
Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),1702,1702,25,199310,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,23.275812043510143,23.275812043510143,2.8209479177387813
Shigella flexneri,1696,1696,70,623,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Shigella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,23.23474912642073,23.23474912642073,4.720348719413148
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),1478,1478,446,208964,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,21.690136278494027,21.690136278494027,11.914957374576321
Sus scrofa,1459,1459,211,9823,Artiodactyla; Chordata; Craniata; Eukaryota; Euteleostomi; Eutheria; Laurasiatheria; Mammalia; Metazoa; Suidae; Suina; Sus; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,21.550269695346056,21.550269695346056,8.19532708223289
Salmonella typhi,1349,1349,18,90370,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Salmonella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,20.721969898200644,20.721969898200644,2.393653682408596
Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),1244,1244,10,233413,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Mycobacteriaceae; Mycobacteriales; Mycobacterium; Mycobacterium tuberculosis complex,Bacteria,Microbial,Cellular Life,Bacteria,Monera,19.899183360445615,19.899183360445615,1.7841241161527712
Macaca fascicularis,1176,1176,6,9541,Catarrhini; Cercopithecidae; Cercopithecinae; Chordata; Craniata; Euarchontoglires; Eukaryota; Euteleostomi; Eutheria; Haplorrhini; Macaca; Mammalia; Metazoa; Primates; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,19.347672370394786,19.347672370394786,1.381976597885342
Candida albicans (strain SC5314 / ATCC MYA-2876),1147,1147,127,237561,Ascomycota; Candida; Candida/Lodderomyces clade; Debaryomycetaceae; Dikarya; Eukaryota; Fungi; Pichiomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,19.10762778193065,19.10762778193065,6.358093703724522
Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),1103,1103,134,1111708,Bacillati; Bacteria; Cyanobacteriota; Cyanophyceae; Merismopediaceae; Synechococcales; Synechocystis,Bacteria,Microbial,Cellular Life,Bacteria,Monera,18.73755065265258,18.73755065265258,6.530966601401967
Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),1038,1038,123,224325,Archaea; Archaeoglobaceae; Archaeoglobales; Archaeoglobi; Archaeoglobus; Methanobacteriati; Methanobacteriota,Archaea,Microbial,Cellular Life,Archaea,Monera,18.17706417050825,18.17706417050825,6.257165172872317
Yersinia pestis,1030,1030,72,632,Bacteria; Enterobacterales; Gammaproteobacteria; Pseudomonadota; Yersinia; Yersiniaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,18.10688219350047,18.10688219350047,4.787307364817192
Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),1021,1021,22,227321,Ascomycota; Aspergillaceae; Aspergillus; Aspergillus subgen. Nidulantes; Dikarya; Eukaryota; Eurotiales; Eurotiomycetes; Eurotiomycetidae; Fungi; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,18.02760088846129,18.02760088846129,2.6462837142006137
Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),997,997,119,243277,Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrio; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,17.81445919822545,17.81445919822545,6.154581744998688
Oryctolagus cuniculus,978,978,174,9986,Chordata; Craniata; Euarchontoglires; Eukaryota; Euteleostomi; Eutheria; Glires; Lagomorpha; Leporidae; Mammalia; Metazoa; Oryctolagus; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,17.64389607449974,17.64389607449974,7.442171739215616
Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),969,969,138,367110,Ascomycota; Dikarya; Eukaryota; Fungi; Neurospora; Pezizomycotina; Sordariaceae; Sordariales; Sordariomycetes; Sordariomycetidae,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,17.5625248672306,17.5625248672306,6.627726932618989
Staphylococcus aureus (strain Mu50 / ATCC 700699),942,942,62,158878,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,17.31611713939158,17.31611713939158,4.442433223290478
Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293),937,937,47,330879,Ascomycota; Aspergillaceae; Aspergillus; Aspergillus subgen. Fumigati; Dikarya; Eukaryota; Eurotiales; Eurotiomycetes; Eurotiomycetidae; Fungi; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,17.27010027053149,17.27010027053149,3.8678889139475245
Staphylococcus aureus (strain N315),929,929,35,158879,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,17.19621714984844,17.19621714984844,3.3377905890622728
Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056),928,928,5,284811,Ascomycota; Dikarya; Eremothecium; Eukaryota; Fungi; Saccharomycetaceae; Saccharomycetales; Saccharomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,17.186959427966244,17.186959427966244,1.2615662610100802
Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),919,919,44,284590,Ascomycota; Dikarya; Eukaryota; Fungi; Kluyveromyces; Saccharomycetaceae; Saccharomycetales; Saccharomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,17.10341443697438,17.10341443697438,3.742410318509555
Acanthamoeba polyphaga mimivirus,909,909,18,212035,Bamfordvirae; Imitervirales; Megamimivirinae; Megaviricetes; Mimiviridae; Mimivirus; Mimivirus bradfordmassiliense; Nucleocytoviricota; Varidnaviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,17.01010542416083,17.01010542416083,2.393653682408596
Staphylococcus aureus (strain COL),905,905,39,93062,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.97263818610208,16.97263818610208,3.523362819972964
Staphylococcus aureus (strain MW2),896,896,70,196620,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.88803298257901,16.88803298257901,4.720348719413148
Escherichia coli O6:K15:H31 (strain 536 / UPEC),894,894,3,362663,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.869174201729876,16.869174201729876,0.9772050238058398
Staphylococcus aureus (strain MSSA476),890,890,4,282459,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.83139324903241,16.83139324903241,1.1283791670955126
Rhizobium meliloti (strain 1021),888,888,21,266834,Alphaproteobacteria; Bacteria; Hyphomicrobiales; Pseudomonadota; Rhizobiaceae; Sinorhizobium; Sinorhizobium/Ensifer group,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.812470934731934,16.812470934731934,2.5854414729132054
Staphylococcus aureus (strain MRSA252),888,888,29,282458,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.812470934731934,16.812470934731934,3.0382538898732494
Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138),888,888,12,284593,Ascomycota; Dikarya; Eukaryota; Fungi; Nakaseomyces; Saccharomycetaceae; Saccharomycetales; Saccharomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,16.812470934731934,16.812470934731934,1.9544100476116797
Shigella sonnei (strain Ss046),879,879,3,300269,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Shigella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.727055627203253,16.727055627203253,0.9772050238058398
Oryza sativa subsp. indica,873,873,7,39946,BOP clade; Embryophyta; Eukaryota; Liliopsida; Magnoliopsida; Oryza; Oryza sativa; Oryzeae; Oryzinae; Oryzoideae; Poaceae; Poales; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae,Plant,Plant,Cellular Life,Eukaryota,Plant,16.669868944849245,16.669868944849245,1.4927053303604616
Yersinia pseudotuberculosis serotype I (strain IP32953),863,863,11,273123,Bacteria; Enterobacterales; Gammaproteobacteria; Pseudomonadota; Yersinia; Yersiniaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.574119336381386,16.574119336381386,1.8712051592547776
Canis lupus familiaris,854,854,68,9615,Canidae; Caniformia; Canis; Carnivora; Chordata; Craniata; Eukaryota; Euteleostomi; Eutheria; Laurasiatheria; Mammalia; Metazoa; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,16.487469266111074,16.487469266111074,4.652426491681278
Zea mays,850,850,44,4577,Andropogoneae; Andropogonodae; Embryophyta; Eukaryota; Liliopsida; Magnoliopsida; PACMAD clade; Panicoideae; Poaceae; Poales; Spermatophyta; Streptophyta; Tracheophyta; Tripsacinae; Viridiplantae; Zea,Plant,Plant,Cellular Life,Eukaryota,Plant,16.448811606198852,16.448811606198852,3.742410318509555
Escherichia coli O139:H28 (strain E24377A / ETEC),838,838,4,331111,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.332289631953525,16.332289631953525,1.1283791670955126
Escherichia coli (strain UTI89 / UPEC),825,825,5,364106,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.205112036071434,16.205112036071434,1.2615662610100802
Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks),822,822,2,481805,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.175621361885174,16.175621361885174,0.7978845608028654
Shigella dysenteriae serotype 1 (strain Sd197),822,822,2,300267,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Shigella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.175621361885174,16.175621361885174,0.7978845608028654
Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),819,819,48,100226,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptomyces; Streptomyces albidoflavus group; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.146076823319174,16.146076823319174,3.9088200952233594
Staphylococcus aureus (strain NCTC 8325 / PS 47),811,811,174,93061,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,16.067025788709444,16.067025788709444,7.442171739215616
Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672),804,804,6,218491,Bacteria; Enterobacterales; Gammaproteobacteria; Pectobacteriaceae; Pectobacterium; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.99753570059363,15.99753570059363,1.381976597885342
Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),796,796,14,223926,Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrio; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.91774699517169,15.91774699517169,2.111004122822376
Aquifex aeolicus (strain VF5),788,788,135,224324,Aquifex; Aquificaceae; Aquificales; Aquificia; Aquificota; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.837556323903858,15.837556323903858,6.555290583552474
Escherichia coli O127:H6 (strain E2348/69 / EPEC),779,779,7,574521,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.746853696442757,15.746853696442757,1.4927053303604616
Escherichia coli (strain K12 / DH10B),771,771,1,316385,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.665788274060857,15.665788274060857,0.5641895835477563
Pasteurella multocida (strain Pm70),770,770,4,272843,Bacteria; Gammaproteobacteria; Pasteurella; Pasteurellaceae; Pasteurellales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.655625581928012,15.655625581928012,1.1283791670955126
Escherichia coli (strain 55989 / EAEC),762,762,1,585055,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.574085310927526,15.574085310927526,0.5641895835477563
Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),760,760,6,176279,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.553633450087505,15.553633450087505,1.381976597885342
Shigella flexneri serotype 5b (strain 8401),760,760,2,373384,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Shigella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.553633450087505,15.553633450087505,0.7978845608028654
Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200),760,760,10,176280,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.553633450087505,15.553633450087505,1.7841241161527712
Escherichia coli O45:K1 (strain S88 / ExPEC),759,759,1,585035,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.543397428281152,15.543397428281152,0.5641895835477563
Bacillus anthracis,758,758,68,1392,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacillus; Bacillus cereus group; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.533154661153457,15.533154661153457,4.652426491681278
Escherichia coli (strain SE11),756,756,1,409438,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.512648837479231,15.512648837479231,0.5641895835477563
Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01),749,749,3,243265,Bacteria; Enterobacterales; Gammaproteobacteria; Morganellaceae; Photorhabdus; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.440663999700893,15.440663999700893,0.9772050238058398
Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125),744,744,30,272558,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Halalkalibacterium (ex Joshi et al. 2022),Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.389040103942165,15.389040103942165,3.0901936161855166
Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081),739,739,5,393305,Bacteria; Enterobacterales; Gammaproteobacteria; Pseudomonadota; Yersinia; Yersiniaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.33724244738347,15.33724244738347,1.2615662610100802
Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),737,737,31,160488,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.316474337048122,15.316474337048122,3.141274657157109
Vibrio vulnificus (strain CMCP6),733,733,11,216895,Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrio; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.274853405932202,15.274853405932202,1.8712051592547776
Escherichia coli,724,724,156,562,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.180789096653193,15.180789096653193,7.046725639945928
Salmonella enteritidis PT4 (strain P125109),722,722,1,550537,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Salmonella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.159806655254442,15.159806655254442,0.5641895835477563
Vibrio vulnificus (strain YJ016),718,718,4,196600,Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrio; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.117754405994354,15.117754405994354,1.1283791670955126
Escherichia coli O1:K1 / APEC,715,715,3,405955,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.086138293858053,15.086138293858053,0.9772050238058398
Yersinia pestis bv. Antiqua (strain Nepal516),715,715,1,377628,Bacteria; Enterobacterales; Gammaproteobacteria; Pseudomonadota; Yersinia; Yersiniaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.086138293858053,15.086138293858053,0.5641895835477563
Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),715,715,28,272620,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Klebsiella; Klebsiella/Raoultella group; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.086138293858053,15.086138293858053,2.985410660720923
Enterobacter sp. (strain 638),715,715,2,399742,Bacteria; Enterobacter; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.086138293858053,15.086138293858053,0.7978845608028654
Yersinia pestis bv. Antiqua (strain Antiqua),711,711,1,360102,Bacteria; Enterobacterales; Gammaproteobacteria; Pseudomonadota; Yersinia; Yersiniaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.043880120390323,15.043880120390323,0.5641895835477563
Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),708,708,72,103690,Bacillati; Bacteria; Cyanobacteriota; Cyanophyceae; Nostoc; Nostocaceae; Nostocales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,15.012108426804138,15.012108426804138,4.787307364817192
